Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2010-10-12,Close entry(s) order Long,1.35,735294,999999.84,-7352.94,-0.74,132352.92,13.24,-44117.64,-4.41,-7352.94,-0.74
1,Entry long,2010-09-02,Long,1.36,735294,999999.84,-7352.94,-0.74,132352.92,13.24,-44117.64,-4.41,-7352.94,-0.74
2,Exit long,2010-12-17,Close entry(s) order Long,2.09,699047,992646.74,468361.5,47.18,706037.5,71.13,-27961.88,-2.82,461008.56,46.10
2,Entry long,2010-10-27,Long,1.42,699047,992646.74,468361.5,47.18,706037.5,71.13,-27961.88,-2.82,461008.56,46.10
3,Exit long,2010-12-27,Close entry(s) order Long,1.87,670187,1393988.96,-140739.27,-10.10,60316.83,4.33,-140739.27,-10.10,320269.28,32.03
3,Entry long,2010-12-23,Long,2.08,670187,1393988.96,-140739.27,-10.10,60316.83,4.33,-140739.27,-10.10,320269.28,32.03
4,Exit long,2011-03-17,Close entry(s) order Long,1.55,825168,1345023.84,-66013.44,-4.91,49510.08,3.68,-148530.23,-11.04,254255.84,25.43
4,Entry long,2011-03-03,Long,1.63,825168,1345023.84,-66013.44,-4.91,49510.08,3.68,-148530.23,-11.04,254255.84,25.43
5,Exit long,2011-06-17,Close entry(s) order Long,1.79,677976,1240696.08,-27119.04,-2.19,183053.52,14.75,-149154.72,-12.02,227136.8,22.71
5,Entry long,2011-04-01,Long,1.83,677976,1240696.08,-27119.04,-2.19,183053.52,14.75,-149154.72,-12.02,227136.8,22.71
6,Exit long,2011-07-18,Close entry(s) order Long,1.82,632544,1227135.36,-75905.28,-6.19,37952.64,3.09,-75905.28,-6.19,151231.52,15.12
6,Entry long,2011-07-01,Long,1.94,632544,1227135.36,-75905.28,-6.19,37952.64,3.09,-75905.28,-6.19,151231.52,15.12
7,Exit long,2011-08-01,Close entry(s) order Long,1.91,602739,1151231.49,0,0.00,36164.34,3.14,-48219.12,-4.19,151231.52,15.12
7,Entry long,2011-07-22,Long,1.91,602739,1151231.49,0,0.00,36164.34,3.14,-48219.12,-4.19,151231.52,15.12
8,Exit long,2011-10-05,Close entry(s) order Long,1.6,669320,1111071.2,-40159.2,-3.61,93704.8,8.43,-87011.6,-7.83,111072.32,11.11
8,Entry long,2011-09-19,Long,1.66,669320,1111071.2,-40159.2,-3.61,93704.8,8.43,-87011.6,-7.83,111072.32,11.11
9,Exit long,2011-12-14,Close entry(s) order Long,1.97,617262,1111071.6,104934.54,9.44,327148.88,29.44,-37035.72,-3.33,216006.86,21.60
9,Entry long,2011-10-07,Long,1.8,617262,1111071.6,104934.54,9.44,327148.88,29.44,-37035.72,-3.33,216006.86,21.60
10,Exit long,2012-04-11,Close entry(s) order Long,2.22,620411,1222209.67,155102.75,12.69,428083.6,35.03,-43428.77,-3.55,371109.62,37.11
10,Entry long,2012-01-30,Long,1.97,620411,1222209.67,155102.75,12.69,428083.6,35.03,-43428.77,-3.55,371109.62,37.11
11,Exit long,2012-07-25,Close entry(s) order Long,1.99,646749,1377575.37,-90544.86,-6.57,174622.23,12.68,-103479.84,-7.51,280564.75,28.06
11,Entry long,2012-06-19,Long,2.13,646749,1377575.37,-90544.86,-6.57,174622.23,12.68,-103479.84,-7.51,280564.75,28.06
12,Exit long,2012-08-30,Close entry(s) order Long,1.91,677547,1280563.83,13550.94,1.06,47428.29,3.70,-13550.94,-1.06,294115.7,29.41
12,Entry long,2012-08-28,Long,1.89,677547,1280563.83,13550.94,1.06,47428.29,3.70,-13550.94,-1.06,294115.7,29.41
13,Exit long,2012-09-28,Close entry(s) order Long,1.92,596366,1270259.58,-125236.86,-9.86,0,0.00,-178909.8,-14.08,168878.83,16.89
13,Entry long,2012-09-18,Long,2.13,596366,1270259.58,-125236.86,-9.86,0,0.00,-178909.8,-14.08,168878.83,16.89
14,Exit long,2012-10-10,Close entry(s) order Long,1.89,596366,1180804.68,-53672.94,-4.55,5963.66,0.51,-59636.6,-5.05,115205.89,11.52
14,Entry long,2012-10-05,Long,1.98,596366,1180804.68,-53672.94,-4.55,5963.66,0.51,-59636.6,-5.05,115205.89,11.52
15,Exit long,2013-01-11,Close entry(s) order Long,2.27,531050,1083342,122141.5,11.27,185867.5,17.16,-26552.5,-2.45,237347.39,23.73
15,Entry long,2012-11-06,Long,2.04,531050,1083342,122141.5,11.27,185867.5,17.16,-26552.5,-2.45,237347.39,23.73
16,Exit long,2013-02-26,Close entry(s) order Long,2.3,526530,1226814.9,-15795.9,-1.29,179020.2,14.59,-21061.2,-1.72,221551.48,22.16
16,Entry long,2013-01-23,Long,2.33,526530,1226814.9,-15795.9,-1.29,179020.2,14.59,-21061.2,-1.72,221551.48,22.16
17,Exit long,2013-03-19,Close entry(s) order Long,2.35,477168,1235865.12,-114520.32,-9.27,19086.72,1.54,-124063.68,-10.04,107031.17,10.70
17,Entry long,2013-03-11,Long,2.59,477168,1235865.12,-114520.32,-9.27,19086.72,1.54,-124063.68,-10.04,107031.17,10.70
18,Exit long,2013-10-15,Close entry(s) order Long,12.35,435839,1111389.45,4271222,384.31,4541442.5,408.63,-13075.17,-1.18,4378253.5,437.83
18,Entry long,2013-03-28,Long,2.55,435839,1111389.45,4271222,384.31,4541442.5,408.63,-13075.17,-1.18,4378253.5,437.83
19,Exit long,2013-10-24,Close entry(s) order Long,11,438682,5408949.06,-583447.06,-10.79,70189.12,1.30,-723825.3,-13.38,3794806.2,379.48
19,Entry long,2013-10-16,Long,12.33,438682,5408949.06,-583447.06,-10.79,70189.12,1.30,-723825.3,-13.38,3794806.2,379.48
20,Exit long,2014-03-26,Close entry(s) order Long,14.8,505781,4784688.26,2700870.5,56.45,4152462,86.79,-177023.34,-3.70,6495677,649.57
20,Entry long,2013-12-11,Long,9.46,505781,4784688.26,2700870.5,56.45,4152462,86.79,-177023.34,-3.70,6495677,649.57
21,Exit long,2014-05-09,Close entry(s) order Long,11.99,519091,7495674.04,-1271773,-16.97,72672.74,0.97,-1334063.9,-17.80,5223904,522.39
21,Entry long,2014-05-06,Long,14.44,519091,7495674.04,-1271773,-16.97,72672.74,0.97,-1334063.9,-17.80,5223904,522.39
