Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2010-10-27,根据B死叉平仓A,234.76,4294,1000716.7,7342.74,0.73,16961.3,1.69,-22972.9,-2.30,7342.74,0.73
1,Entry long,2010-10-12,根据B金叉买入A,233.05,4294,1000716.7,7342.74,0.73,16961.3,1.69,-22972.9,-2.30,7342.74,0.73
2,Exit long,2010-12-23,根据B死叉平仓A,272.1,3743,1007278.73,11191.57,1.11,16057.47,1.59,0,0.00,18534.31,1.85
2,Entry long,2010-12-17,根据B金叉买入A,269.11,3743,1007278.73,11191.57,1.11,16057.47,1.59,0,0.00,18534.31,1.85
3,Exit long,2011-03-03,根据B死叉平仓A,264.46,3745,1016954.75,-26552.05,-2.61,16665.25,1.64,-94711.05,-9.31,-8017.74,-0.80
3,Entry long,2010-12-27,根据B金叉买入A,271.55,3745,1016954.75,-26552.05,-2.61,16665.25,1.64,-94711.05,-9.31,-8017.74,-0.80
4,Exit long,2011-04-01,根据B死叉平仓A,274.22,3796,1002789.32,38149.8,3.80,50600.68,5.05,-15563.6,-1.55,30132.06,3.01
4,Entry long,2011-03-17,根据B金叉买入A,264.17,3796,1002789.32,38149.8,3.80,50600.68,5.05,-15563.6,-1.55,30132.06,3.01
5,Exit long,2011-07-01,根据B死叉平仓A,295.38,3554,1034214,15566.52,1.51,18480.8,1.79,-3554,-0.34,45698.58,4.57
5,Entry long,2011-06-17,根据B金叉买入A,291,3554,1034214,15566.52,1.51,18480.8,1.79,-3554,-0.34,45698.58,4.57
6,Exit long,2011-07-22,根据B死叉平仓A,296.44,3517,1044830.36,-2250.88,-0.22,7491.21,0.72,-9179.37,-0.88,43447.7,4.34
6,Entry long,2011-07-18,根据B金叉买入A,297.08,3517,1044830.36,-2250.88,-0.22,7491.21,0.72,-9179.37,-0.88,43447.7,4.34
7,Exit long,2011-09-19,根据B死叉平仓A,329.31,3655,1048985,154643.05,14.74,167874.16,16.00,-75841.25,-7.23,198090.75,19.81
7,Entry long,2011-08-01,根据B金叉买入A,287,3655,1048985,154643.05,14.74,167874.16,16.00,-75841.25,-7.23,198090.75,19.81
8,Exit long,2011-10-07,根据B死叉平仓A,323.33,3744,1198080,12467.52,1.04,12467.52,1.04,-30139.2,-2.52,210558.27,21.06
8,Entry long,2011-10-05,根据B金叉买入A,320,3744,1198080,12467.52,1.04,12467.52,1.04,-30139.2,-2.52,210558.27,21.06
9,Exit long,2012-01-30,根据B死叉平仓A,346.54,3712,1208664.32,77692.16,6.43,92577.28,7.66,-46400,-3.84,288250.44,28.83
9,Entry long,2011-12-14,根据B金叉买入A,325.61,3712,1208664.32,77692.16,6.43,92577.28,7.66,-46400,-3.84,288250.44,28.83
10,Exit long,2012-06-19,根据B死叉平仓A,385.49,3427,1301403.25,19670.98,1.51,66312.45,5.10,-84612.63,-6.50,307921.4,30.79
10,Entry long,2012-04-11,根据B金叉买入A,379.75,3427,1301403.25,19670.98,1.51,66312.45,5.10,-84612.63,-6.50,307921.4,30.79
11,Exit long,2012-08-28,根据B死叉平仓A,365.43,3475,1307781.5,-37912.25,-2.90,19355.75,1.48,-79403.75,-6.07,270009.16,27.00
11,Entry long,2012-07-25,根据B金叉买入A,376.34,3475,1307781.5,-37912.25,-2.90,19355.75,1.48,-79403.75,-6.07,270009.16,27.00
12,Exit long,2012-09-18,根据B死叉平仓A,355.61,3498,1267150.5,-23226.72,-1.83,40087.08,3.16,-38408.04,-3.03,246782.44,24.68
12,Entry long,2012-08-30,根据B金叉买入A,362.25,3498,1267150.5,-23226.72,-1.83,40087.08,3.16,-38408.04,-3.03,246782.44,24.68
13,Exit long,2012-10-05,根据B死叉平仓A,378.75,3356,1242659.68,28425.32,2.29,28425.32,2.29,-26646.64,-2.14,275207.75,27.52
13,Entry long,2012-09-28,根据B金叉买入A,370.28,3356,1242659.68,28425.32,2.29,28425.32,2.29,-26646.64,-2.14,275207.75,27.52
14,Exit long,2012-11-06,根据B死叉平仓A,384.15,3356,1270581.6,18625.8,1.47,27519.2,2.17,-68093.24,-5.36,293833.56,29.38
14,Entry long,2012-10-10,根据B金叉买入A,378.6,3356,1270581.6,18625.8,1.47,27519.2,2.17,-68093.24,-5.36,293833.56,29.38
15,Exit long,2013-01-23,根据B死叉平仓A,352.84,3734,1295473.96,22030.6,1.70,28975.84,2.24,-18520.64,-1.43,315864.16,31.59
15,Entry long,2013-01-11,根据B金叉买入A,346.94,3734,1295473.96,22030.6,1.70,28975.84,2.24,-18520.64,-1.43,315864.16,31.59
